12.34	14	70.07	19.9	6.71
12.5	14	71.84	20.2	6.69
12.42	14.67	72.3	20.78	6.65
12.5	14.5	72	21.07	6.83
12.55	14.49	71.1	20.53	6.82
12.45	14.37	71.05	20.1	6.68
12.28	14.5	70.1	20.29	6.65
12.32	14.56	70.36	20.09	6.66
12.23	14.5	70.45	19.89	6.62
11.73	14.26	69	17.9	6.23
11.74	15.07	67.68	17.63	6.22
11.75	16.58	68.28	17.77	6.21
12.51	18.24	71.28	18.82	6.4
12.45	19.15	70.28	18.74	6.41
12.12	18.98	70.49	18.24	6.24
12.15	18.02	72	17.9	6.26
11.96	17.77	72.46	17.64	6.11
11.99	19.55	72.4	17.79	6.12
11.96	19.54	72.83	17.82	6.06
11.83	19.9	71.5	17.85	6.04
12.07	20.08	73.48	19.45	6.22
11.92	21.08	73.17	18.72	6.15
11.89	20.19	71.78	18.62	6.24
12.07	22.21	72.92	19.06	6.31
12.23	24.43	74.07	18.86	6.28
12.51	24.43	79.34	19.63	6.38
12.43	24.43	78.6	19.93	6.36
12.48	24.43	77.2	21.15	6.28
12.34	24.43	75.94	20.63	6.23
12.41	24.43	76.09	20.79	6.25
11.98	24.43	74.35	19.56	6.28
12.09	24.43	74.35	19.81	6.21
12.1	24.43	74.4	19.7	6.32
11.99	24.43	72.62	19.35	6.18
